playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Dominik Simon,85,24,17.5,16.9,23.2,137,Pittsburgh Penguins,Dominik Simon (F),2015,0,https://www.eliteprospects.com/player/105831/dominik-simon,-,-,1994-08-08,"5'11""",86 kg / 190,"Praha, CZE",Czechia,L,2015 round 5 #137 overall by Pittsburgh Penguins,Praha, ,12.9
Dominik Uher,65,60,8.5,10.7,75.7,144,Pittsburgh Penguins,Dominik Uher (F),2011,0,https://www.eliteprospects.com/player/41098/dominik-uher,-,-,1992-12-31,"6'0""",92 kg / 203,"Frydek-Mistek, CZE",Czechia,L,2011 round 5 #144 overall by Pittsburgh Penguins,Frydek-Mistek, ,14.5
Dougie Hamilton,67,77,8.4,10.3,94.2,9,Boston Bruins,Dougie Hamilton (D),2011,1,https://www.eliteprospects.com/player/45596/dougie-hamilton,New Jersey Devils,Signed,1993-06-17,"6'6""",104 kg / 229,"Toronto, ON, CAN",Canada,R,2011 round 1 #9 overall by Boston Bruins,Toronto, ,14.0
Drayson Bowman,61,55,6.1,8.2,73.9,72,Carolina Hurricanes,Drayson Bowman (F),2007,0,https://www.eliteprospects.com/player/12521/drayson-bowman,-,-,1989-03-08,"6'1""",88 kg / 194,"Grand Rapids, MI, USA",USA,L,2007 round 3 #72 overall by Carolina Hurricanes,Grand Rapids, ,18.3
Drew Czerwonka,54,106,1.8,2.7,161.0,166,Edmonton Oilers,Drew Czerwonka (F),2010,0,https://www.eliteprospects.com/player/33560/drew-czerwonka,-,-,1992-01-07,"6'1""",82 kg / 181,"Glenavon, SK, CAN",Canada,L,2010 round 6 #166 overall by Edmonton Oilers,Glenavon, ,15.5
Drew Daniels,25,14,1.3,4.3,45.9,194,San Jose Sharks,Drew Daniels (D),2008,1,https://www.eliteprospects.com/player/19066/drew-daniels,-,-,1989-06-07,"6'2""",87 kg / 192,"Suffern, NY, USA",USA,R,2008 round 7 #194 overall by San Jose Sharks,Suffern, ,18.1
Drew Doughty,65,68,8.3,10.5,85.8,2,Los Angeles Kings,Drew Doughty (D),2008,1,https://www.eliteprospects.com/player/10430/drew-doughty,Los Angeles Kings,Signed,1989-12-08,"6'1""",95 kg / 209,"London, ON, CAN",Canada,R,2008 round 1 #2 overall by Los Angeles Kings,London, ,17.6
Drew Schiestel,66,40,3.0,3.7,49.7,59,Buffalo Sabres,Drew Schiestel (D),2007,1,https://www.eliteprospects.com/player/12516/drew-schiestel,-,-,1989-03-09,"6'1""",90 kg / 198,"Hamilton, ON, CAN",Canada,L,2007 round 2 #59 overall by Buffalo Sabres,Hamilton, ,18.3
Drew Shore,69,52,6.6000000000000005,7.8,61.8,44,Florida Panthers,Drew Shore (F),2009,0,https://www.eliteprospects.com/player/31263/drew-shore,-,-,1991-01-29,"6'2""",95 kg / 209,"Denver, CO, USA",USA,R,2009 round 2 #44 overall by Florida Panthers,Denver, ,16.4
Duncan Siemens,72,121,6.1,6.9,137.8,11,Colorado Avalanche,Duncan Siemens (D),2011,1,https://www.eliteprospects.com/player/37238/duncan-siemens,-,-,1993-09-07,"6'3""",95 kg / 209,"Edmonton, AB, CAN",Canada,L,2011 round 1 #11 overall by Colorado Avalanche,Edmonton, ,13.8
Dustin Jeffrey,68,40,13.2,15.9,48.2,171,Pittsburgh Penguins,Dustin Jeffrey (F),2007,0,https://www.eliteprospects.com/player/11115/dustin-jeffrey,-,-,1988-02-27,"6'1""",93 kg / 205,"Sarnia, ON, CAN",Canada,L,2007 round 6 #171 overall by Pittsburgh Penguins,Sarnia, ,19.3
Dustin Walsh,44,28,2.0999999999999996,3.9,52.2,169,Montréal Canadiens,Dustin Walsh (F),2009,0,https://www.eliteprospects.com/player/38042/dustin-walsh,-,-,1991-03-20,"6'2""",80 kg / 176,"Belleville, ON, CAN",Canada,L,2009 round 6 #169 overall by Montréal Canadiens,Belleville, ,16.3
Dwight King,62,39,6.2,8.2,51.6,109,Los Angeles Kings,Dwight King (F),2007,0,https://www.eliteprospects.com/player/12539/dwight-king,-,-,1989-07-05,"6'4""",104 kg / 229,"Meadow Lake, SK, CAN",Canada,L,2007 round 4 #109 overall by Los Angeles Kings,Meadow Lake, ,18.0
Dwyer Tschantz,52,58,6.3,9.9,91.5,202,St. Louis Blues,Dwyer Tschantz (F),2014,0,https://www.eliteprospects.com/player/191247/dwyer-tschantz,-,-,1995-03-22,"6'5""",95 kg / 209,"Wilmington, DE, USA",USA,R,2014 round 7 #202 overall by St. Louis Blues,Wilmington, ,12.3
Dylan Blujus,66,38,4.9,6.1,47.2,40,Tampa Bay Lightning,Dylan Blujus (D),2012,1,https://www.eliteprospects.com/player/88064/dylan-blujus,-,-,1994-01-22,"6'3""",92 kg / 203,"Buffalo, NY, USA",USA,R,2012 round 2 #40 overall by Tampa Bay Lightning,Buffalo, ,13.4
Dylan DeMelo,67,70,3.9,4.8,85.7,179,San Jose Sharks,Dylan DeMelo (D),2011,1,https://www.eliteprospects.com/player/45603/dylan-demelo,Winnipeg Jets,Signed,1993-05-01,"6'1""",88 kg / 194,"London, ON, CAN",Canada,R,2011 round 6 #179 overall by San Jose Sharks,London, ,14.2
Dylan Labbé,61,57,3.2,4.3,76.6,107,Minnesota Wild,Dylan Labbé (D),2013,1,https://www.eliteprospects.com/player/129015/dylan-labbe,-,-,1995-01-09,"6'2""",93 kg / 205,"St-Georges, QC, CAN",Canada,L,2013 round 4 #107 overall by Minnesota Wild,St-Georges, ,12.5
Dylan Larkin,92,82,11.0,9.8,73.1,15,Detroit Red Wings,Dylan Larkin (F),2014,0,https://www.eliteprospects.com/player/177693/dylan-larkin,Detroit Red Wings,Signed,1996-07-30,"6'1""",90 kg / 198,"Waterford Township, MI, USA",USA,L,2014 round 1 #15 overall by Detroit Red Wings,Waterford Township, ,10.9
Dylan McIlrath,65,169,3.4,4.3,213.2,10,New York Rangers,Dylan McIlrath (D),2010,1,https://www.eliteprospects.com/player/37170/dylan-mcilrath,Washington Capitals,Signed,1992-04-20,"6'5""",105 kg / 231,"Winnipeg, MB, CAN",Canada,R,2010 round 1 #10 overall by New York Rangers,Winnipeg, ,15.2
Dylan Olsen,59,137,2.3,3.2,190.4,28,Chicago Blackhawks,Dylan Olsen (D),2009,1,https://www.eliteprospects.com/player/19294/dylan-olsen,-,-,1991-01-03,"6'2""",101 kg / 223,"Salt Lake City, UT, USA",Canada,L,2009 round 1 #28 overall by Chicago Blackhawks,Salt Lake City, ,16.5
Dylan Sadowy,68,69,5.2,6.3,83.2,81,San Jose Sharks,Dylan Sadowy (F),2014,0,https://www.eliteprospects.com/player/194119/dylan-sadowy,-,-,1996-04-02,"6'1""",93 kg / 205,"Brampton, ON, CAN",Canada,L,2014 round 3 #81 overall by San Jose Sharks,Brampton, ,11.2
Dylan Sikura,41,16,2.2,4.4,32.0,178,Chicago Blackhawks,Dylan Sikura (F),2014,0,https://www.eliteprospects.com/player/146580/dylan-sikura,Chicago Blackhawks,Signed,1995-06-01,"5'11""",77 kg / 170,"Aurora, ON, CAN",Canada,L,2014 round 6 #178 overall by Chicago Blackhawks,Aurora, ,12.1
Dylan Strome,68,32,18.6,22.4,38.6,3,Arizona Coyotes,Dylan Strome (F),2015,0,https://www.eliteprospects.com/player/228107/dylan-strome,Washington Capitals,Signed,1997-03-07,"6'3""",91 kg / 201,"Mississauga, ON, CAN",Canada,L,2015 round 1 #3 overall by Arizona Coyotes,Mississauga, ,10.3
Dylen McKinlay,72,57,5.9,6.7,64.9,189,Minnesota Wild,Dylen McKinlay (F),2010,0,https://www.eliteprospects.com/player/32803/dylen-mckinlay,-,-,1992-04-20,"5'11""",77 kg / 170,"Langley, BC, CAN",Canada,R,2010 round 7 #189 overall by Minnesota Wild,Langley, ,15.2
Dysin Mayo,63,50,4.9,6.4,65.1,133,Arizona Coyotes,Dysin Mayo (D),2014,1,https://www.eliteprospects.com/player/120638/dysin-mayo,Arizona Coyotes,Signed,1996-08-17,"6'2""",88 kg / 194,"Victoria, BC, CAN",Canada,R,2014 round 5 #133 overall by Arizona Coyotes,Victoria, ,10.9
Dávid Skokan,58,84,4.5,6.4,118.8,193,New York Rangers,Dávid Skokan (F),2007,0,https://www.eliteprospects.com/player/12542/david-skokan,-,-,1988-12-06,"6'0""",83 kg / 183,"Poprad, SVK",Slovakia,L,2007 round 7 #193 overall by New York Rangers,Poprad, ,18.6
Eddie Wittchow,25,28,0.6,2.0,91.8,154,Florida Panthers,Eddie Wittchow (D),2011,1,https://www.eliteprospects.com/player/117575/eddie-wittchow,-,-,1992-10-31,"6'5""",102 kg / 225,"Burnsville, MN, USA",USA,L,2011 round 6 #154 overall by Florida Panthers,Burnsville, ,14.7
Edgars Kulda,79,63,8.5,8.8,65.4,193,Arizona Coyotes,Edgars Kulda (F),2014,0,https://www.eliteprospects.com/player/52421/edgars-kulda,-,-,1994-11-13,"6'0""",87 kg / 192,"Riga, LAT",Latvia,L,2014 round 7 #193 overall by Arizona Coyotes,Riga, ,12.6
Eero Elo,52,48,2.6000000000000005,4.1,75.7,145,Minnesota Wild,Eero Elo (F),2008,0,https://www.eliteprospects.com/player/17014/eero-elo,-,-,1990-04-26,"6'4""",92 kg / 203,"Rauma, FIN",Finland,R,2008 round 5 #145 overall by Minnesota Wild,Rauma, ,17.2
Elias Lindholm,66,12,18.1,22.5,14.9,5,Carolina Hurricanes,Elias Lindholm (F),2013,0,https://www.eliteprospects.com/player/33387/elias-lindholm,Calgary Flames,Signed,1994-12-02,"6'0""",88 kg / 194,"Boden, SWE",Sweden,R,2013 round 1 #5 overall by Carolina Hurricanes,Boden, ,12.6
Emerson Etem,72,26,9.2,10.5,29.6,29,Anaheim Ducks,Emerson Etem (F),2010,0,https://www.eliteprospects.com/player/20718/emerson-etem,-,-,1992-06-16,"6'1""",96 kg / 212,"Long Beach, CA, USA",USA,L,2010 round 1 #29 overall by Anaheim Ducks,Long Beach, ,15.0
Emil Galimov,42,16,17.3,33.8,31.2,207,San Jose Sharks,Emil Galimov (F),2013,0,https://www.eliteprospects.com/player/42440/emil-galimov,San Jose Sharks,Unsigned,1992-05-09,"6'2""",84 kg / 185,"Nizhnekamsk, RUS",Russia,L,2013 round 7 #207 overall by San Jose Sharks,Nizhnekamsk, ,15.1
Emil Johansson,64,68,1.2000000000000002,1.5,87.1,206,Boston Bruins,Emil Johansson (D),2014,1,https://www.eliteprospects.com/player/79498/emil-johansson,-,-,1996-05-06,"6'0""",87 kg / 192,"Växjö, SWE",Sweden,L,2014 round 7 #206 overall by Boston Bruins,Växjö, ,11.2
Emil Molin,61,114,4.1,5.5,153.2,105,Dallas Stars,Emil Molin (F),2011,0,https://www.eliteprospects.com/player/22269/emil-molin,-,-,1993-02-03,"6'1""",81 kg / 179,"Gävle, SWE",Sweden,L,2011 round 4 #105 overall by Dallas Stars,Gävle, ,14.4
Emil Pettersson,46,38,4.0,7.1,67.7,155,Nashville Predators,Emil Pettersson (F),2013,0,https://www.eliteprospects.com/player/27331/emil-pettersson,-,-,1994-01-14,"6'2""",80 kg / 176,"Sundsvall, SWE",Sweden,L,2013 round 6 #155 overall by Nashville Predators,Sundsvall, ,13.5
Emil Sandin,47,50,5.5,9.6,87.2,199,Ottawa Senators,Emil Sandin (F),2008,0,https://www.eliteprospects.com/player/3707/emil-sandin,-,-,1988-02-28,"5'10""",84 kg / 185,"Uppsala, SWE",Sweden,L,2008 round 7 #199 overall by Ottawa Senators,Uppsala, ,19.3
Eric Cornel,68,25,8.9,10.7,30.1,44,Buffalo Sabres,Eric Cornel (F),2014,0,https://www.eliteprospects.com/player/154475/eric-cornel,-,-,1996-04-11,"6'2""",90 kg / 198,"Kemptville, ON, CAN",Canada,R,2014 round 2 #44 overall by Buffalo Sabres,Kemptville, ,11.2
Eric Knodel,67,42,2.4,2.9,51.4,128,Toronto Maple Leafs,Eric Knodel (D),2009,1,https://www.eliteprospects.com/player/38031/eric-knodel,-,-,1990-06-08,"6'6""",98 kg / 216,"West Chester, PA, USA",USA,L,2009 round 5 #128 overall by Toronto Maple Leafs,West Chester, ,17.1
Eric Locke,68,84,14.0,16.9,101.3,189,Buffalo Sabres,Eric Locke (F),2013,0,https://www.eliteprospects.com/player/76776/eric-locke,-,-,1993-11-21,"5'10""",85 kg / 187,"Toronto, ON, CAN",Canada,L,2013 round 7 #189 overall by Buffalo Sabres,Toronto, ,13.6
Eric Mestery,71,65,2.3,2.7,75.1,57,Washington Capitals,Eric Mestery (D),2008,1,https://www.eliteprospects.com/player/19041/eric-mestery,-,-,1990-05-28,"6'4""",88 kg / 194,"Winnipeg, MB, CAN",Canada,L,2008 round 2 #57 overall by Washington Capitals,Winnipeg, ,17.1
Eric O'Dell,67,39,7.8,9.5,47.7,39,Anaheim Ducks,Eric O'Dell (F),2008,0,https://www.eliteprospects.com/player/17515/eric-o-dell,-,-,1990-06-21,"6'0""",94 kg / 207,"Ottawa, ON, CAN",Canada,R,2008 round 2 #39 overall by Anaheim Ducks,Ottawa, ,17.0
Eric Roy,72,37,5.5,6.3,42.1,135,Calgary Flames,Eric Roy (D),2013,1,https://www.eliteprospects.com/player/84740/eric-roy,-,-,1994-10-24,"6'3""",82 kg / 181,"Meadow Lake, SK, CAN",Canada,L,2013 round 5 #135 overall by Calgary Flames,Meadow Lake, ,12.7
Eric Tangradi,65,32,2.9,3.7,40.4,42,Anaheim Ducks,Eric Tangradi (F),2007,0,https://www.eliteprospects.com/player/12514/eric-tangradi,-,-,1989-02-10,"6'4""",103 kg / 227,"Philadelphia, PA, USA",USA,L,2007 round 2 #42 overall by Anaheim Ducks,Philadelphia, ,18.4
Eric Wellwood,61,12,4.9,6.6,16.1,172,Philadelphia Flyers,Eric Wellwood (F),2009,0,https://www.eliteprospects.com/player/23008/eric-wellwood,-,-,1990-03-06,"5'11""",78 kg / 172,"Oldcastle, ON, CAN",Canada,L,2009 round 6 #172 overall by Philadelphia Flyers,Oldcastle, ,17.3
Erik Cernak,57,34,4.3,6.2,48.9,43,Los Angeles Kings,Erik Cernak (D),2015,1,https://www.eliteprospects.com/player/166368/erik-cernak,Tampa Bay Lightning,Signed,1997-05-28,"6'4""",102 kg / 225,"Kosice, SVK",Slovakia,R,2015 round 2 #43 overall by Los Angeles Kings,Kosice, ,10.1
Erik Foley,55,80,7.7,11.5,119.3,78,Winnipeg Jets,Erik Foley (F),2015,0,https://www.eliteprospects.com/player/212561/erik-foley,-,-,1997-06-30,"6'0""",84 kg / 185,"Mansfield, MA, USA",USA,L,2015 round 3 #78 overall by Winnipeg Jets,Mansfield, ,10.0
Erik Gudbranson,47,72,3.4,5.9,125.6,3,Florida Panthers,Erik Gudbranson (D),2010,1,https://www.eliteprospects.com/player/31282/erik-gudbranson,Columbus Blue Jackets,Signed,1992-01-07,"6'5""",101 kg / 223,"Ottawa, ON, CAN",Canada,R,2010 round 1 #3 overall by Florida Panthers,Ottawa, ,15.5
Erik Gustafsson,65,38,5.3,6.7,47.9,93,Edmonton Oilers,Erik Gustafsson (D),2012,1,https://www.eliteprospects.com/player/15372/erik-gustafsson,Washington Capitals,Signed,1992-03-14,"6'0""",89 kg / 196,"Nynäshamn, SWE",Sweden,L,2012 round 4 #93 overall by Edmonton Oilers,Nynäshamn, ,15.3
Erik Haula,74,56,2.9,3.2,62.1,182,Minnesota Wild,Erik Haula (F),2009,0,https://www.eliteprospects.com/player/16042/erik-haula,New Jersey Devils,Signed,1991-03-23,"6'0""",87 kg / 192,"Pori, FIN",Finland,L,2009 round 7 #182 overall by Minnesota Wild,Pori, ,16.3
Erik Jinesjö Karlsson,81,102,4.0,4.0,103.3,99,Carolina Hurricanes,Erik Jinesjö Karlsson (F),2012,0,https://www.eliteprospects.com/player/33395/erik-jinesjo-karlsson,-,-,1994-07-28,"5'11""",77 kg / 170,"Lerum, SWE",Sweden,L,2012 round 4 #99 overall by Carolina Hurricanes,Lerum, ,12.9
Erik Karlsson,72,98,5.0,5.7,111.6,15,Ottawa Senators,Erik Karlsson (D),2008,1,https://www.eliteprospects.com/player/9878/erik-karlsson,San Jose Sharks,Signed,1990-05-31,"6'0""",86 kg / 190,"Landsbro, SWE",Sweden,R,2008 round 1 #15 overall by Ottawa Senators,Landsbro, ,17.1
Erik Nyström,58,18,3.6,5.1,25.4,154,Montréal Canadiens,Erik Nyström (F),2012,0,https://www.eliteprospects.com/player/32070/erik-nystrom,-,-,1993-10-30,"5'11""",80 kg / 176,"Stockholm, SWE",Sweden,L,2012 round 6 #154 overall by Montréal Canadiens,Stockholm, ,13.7
Esa Lindell,72,36,5.0,5.7,41.0,74,Dallas Stars,Esa Lindell (D),2012,1,https://www.eliteprospects.com/player/50019/esa-lindell,Dallas Stars,Signed,1994-05-23,"6'3""",100 kg / 220,"Helsinki, FIN",Finland,L,2012 round 3 #74 overall by Dallas Stars,Helsinki, ,13.1
Ethan Bear,76,29,5.800000000000001,6.3,31.3,124,Edmonton Oilers,Ethan Bear (D),2015,1,https://www.eliteprospects.com/player/197561/ethan-bear,Vancouver Canucks,Signed,1997-06-26,"5'11""",89 kg / 196,"Regina, SK, CAN",Canada,R,2015 round 5 #124 overall by Edmonton Oilers,Regina, ,10.0
Ethan Werek,72,89,10.0,11.4,101.4,47,New York Rangers,Ethan Werek (F),2009,0,https://www.eliteprospects.com/player/21591/ethan-werek,-,-,1991-06-07,"6'1""",96 kg / 212,"Markham, ON, CAN",China,L,2009 round 2 #47 overall by New York Rangers,Markham, ,16.1
Evan Bloodoff,71,77,3.0,3.5,88.9,157,Phoenix Coyotes,Evan Bloodoff (F),2009,0,https://www.eliteprospects.com/player/30440/evan-bloodoff,-,-,1990-11-21,"5'11""",86 kg / 190,"Castlegar, BC, CAN",Canada,L,2009 round 6 #157 overall by Phoenix Coyotes,Castlegar, ,16.6
Evan Campbell,51,46,5.3,8.5,74.0,128,Edmonton Oilers,Evan Campbell (F),2013,0,https://www.eliteprospects.com/player/59951/evan-campbell,-,-,1993-03-01,"6'1""",93 kg / 205,"Port Coquitlam, BC, CAN",Canada,L,2013 round 5 #128 overall by Edmonton Oilers,Port Coquitlam, ,14.3
Evander Kane,67,91,15.1,18.5,111.4,4,Atlanta Thrashers,Evander Kane (F),2009,0,https://www.eliteprospects.com/player/14657/evander-kane,Edmonton Oilers,Signed,1991-08-02,"6'2""",95 kg / 209,"Vancouver, BC, CAN",Canada,L,2009 round 1 #4 overall by Atlanta Thrashers,Vancouver, ,15.9
Fabrice Herzog,79,42,5.800000000000001,6.0,43.6,142,Toronto Maple Leafs,Fabrice Herzog (F),2013,0,https://www.eliteprospects.com/player/94494/fabrice-herzog,Toronto Maple Leafs,Unsigned,1994-12-09,"6'2""",80 kg / 176,"Frauenfeld, SUI",Switzerland,L,2013 round 5 #142 overall by Toronto Maple Leafs,Frauenfeld, ,12.6
Filip Ahl,75,126,5.3,5.8,137.8,109,Ottawa Senators,Filip Ahl (F),2015,0,https://www.eliteprospects.com/player/162177/filip-ahl,-,-,1997-06-12,"6'3""",96 kg / 212,"Jönköping, SWE",Sweden,L,2015 round 4 #109 overall by Ottawa Senators,Jönköping, ,10.1
Filip Chlapík,75,48,8.5,9.3,52.5,48,Ottawa Senators,Filip Chlapík (F),2015,0,https://www.eliteprospects.com/player/157524/filip-chlapik,-,-,1997-06-03,"6'2""",94 kg / 207,"Praha, CZE",Czechia,L,2015 round 2 #48 overall by Ottawa Senators,Praha, ,10.1
Filip Forsberg,89,59,7.3999999999999995,6.8,54.4,11,Washington Capitals,Filip Forsberg (F),2012,0,https://www.eliteprospects.com/player/29626/filip-forsberg,Nashville Predators,Signed,1994-08-13,"6'2""",93 kg / 205,"Östervåla, SWE",Sweden,R,2012 round 1 #11 overall by Washington Capitals,Östervåla, ,12.9
Francis Beauvillier,67,75,3.8,4.7,91.8,174,Florida Panthers,Francis Beauvillier (F),2012,0,https://www.eliteprospects.com/player/45149/francis-beauvillier,-,-,1993-10-22,"6'1""",82 kg / 181,"Sorel, QC, CAN",Canada,L,2012 round 6 #174 overall by Florida Panthers,Sorel, ,13.7
Francis Perron,68,32,6.2,7.5,38.6,190,Ottawa Senators,Francis Perron (F),2014,0,https://www.eliteprospects.com/player/151539/francis-perron,-,-,1996-04-18,"6'0""",75 kg / 165,"Laval, QC, CAN",Canada,L,2014 round 7 #190 overall by Ottawa Senators,Laval, ,11.2
Frank Corrado,67,94,4.3,5.3,115.0,150,Vancouver Canucks,Frank Corrado (D),2011,1,https://www.eliteprospects.com/player/45547/frank-corrado,-,-,1993-03-26,"6'0""",93 kg / 205,"Woodbridge, ON, CAN",Canada,R,2011 round 5 #150 overall by Vancouver Canucks,Woodbridge, ,14.3
Frazer McLaren,61,186,4.4,5.9,250.0,203,San Jose Sharks,Frazer McLaren (F),2007,0,https://www.eliteprospects.com/player/14501/frazer-mclaren,-,-,1987-10-29,"6'5""",104 kg / 229,"Winnipeg, MB, CAN",Canada,L,2007 round 7 #203 overall by San Jose Sharks,Winnipeg, ,19.7
Freddie Hamilton,70,12,8.700000000000001,10.2,14.1,129,San Jose Sharks,Freddie Hamilton (F),2010,0,https://www.eliteprospects.com/player/31570/freddie-hamilton,-,-,1992-01-01,"6'1""",88 kg / 194,"Toronto, ON, CAN",Canada,R,2010 round 5 #129 overall by San Jose Sharks,Toronto, ,15.5
Frederik Tiffels,38,16,5.199999999999999,11.2,34.5,167,Pittsburgh Penguins,Frederik Tiffels (F),2015,0,https://www.eliteprospects.com/player/85240/frederik-tiffels,-,-,1995-05-20,"6'0""",91 kg / 201,"Köln, GER",Germany,L,2015 round 6 #167 overall by Pittsburgh Penguins,Köln, ,12.1
Fredric Larsson,65,231,1.1,1.4,291.4,111,Philadelphia Flyers,Fredric Larsson (D),2012,1,https://www.eliteprospects.com/player/38937/fredric-larsson,-,-,1994-07-04,"6'3""",81 kg / 179,"Karlstad, SWE",Sweden,L,2012 round 4 #111 overall by Philadelphia Flyers,Karlstad, ,13.0
Fredrik Claesson,63,43,1.6,2.1,56.0,126,Ottawa Senators,Fredrik Claesson (D),2011,1,https://www.eliteprospects.com/player/14412/fredrik-claesson,-,-,1992-11-24,"6'1""",93 kg / 205,"Stockholm, SWE",Sweden,L,2011 round 5 #126 overall by Ottawa Senators,Stockholm, ,14.6
Fredrik Olofsson,58,47,3.0,4.2,66.4,98,Chicago Blackhawks,Fredrik Olofsson (F),2014,0,https://www.eliteprospects.com/player/195218/fredrik-olofsson,Dallas Stars,Signed,1996-05-27,"6'2""",89 kg / 196,"Helsingborg, SWE",Sweden,L,2014 round 4 #98 overall by Chicago Blackhawks,Helsingborg, ,11.1
Frédérik Gauthier,69,28,7.3,8.7,33.3,21,Toronto Maple Leafs,Frédérik Gauthier (F),2013,0,https://www.eliteprospects.com/player/128500/frederik-gauthier,-,-,1995-04-26,"6'5""",108 kg / 238,"Laval, QC, CAN",Canada,L,2013 round 1 #21 overall by Toronto Maple Leafs,Laval, ,12.2
Félix Girard,58,58,6.9,9.8,82.0,95,Nashville Predators,Félix Girard (F),2013,0,https://www.eliteprospects.com/player/88969/felix-girard,-,-,1994-05-09,"5'11""",88 kg / 194,"Lévis, QC, CAN",Canada,R,2013 round 4 #95 overall by Nashville Predators,Lévis, ,13.1
Gabriel Beaupré,66,73,2.0,2.5,90.7,153,Colorado Avalanche,Gabriel Beaupré (D),2011,1,https://www.eliteprospects.com/player/22857/gabriel-beaupre,-,-,1992-11-23,"6'2""",88 kg / 194,"Lévis, QC, CAN",Canada,L,2011 round 6 #153 overall by Colorado Avalanche,Lévis, ,14.6
Gabriel Bourque,60,82,6.9,9.4,112.1,132,Nashville Predators,Gabriel Bourque (F),2009,0,https://www.eliteprospects.com/player/28421/gabriel-bourque,-,-,1990-09-23,"5'10""",92 kg / 203,"Rimouski, QC, CAN",Canada,L,2009 round 5 #132 overall by Nashville Predators,Rimouski, ,16.8
Gabriel Carlsson,82,24,2.0,2.0,24.0,29,Columbus Blue Jackets,Gabriel Carlsson (D),2015,1,https://www.eliteprospects.com/player/187919/gabriel-carlsson,Washington Capitals,Signed,1997-01-02,"6'5""",92 kg / 203,"Örebro, SWE",Sweden,L,2015 round 1 #29 overall by Columbus Blue Jackets,Örebro, ,10.5
Gabriel Dumont,51,63,5.5,8.8,101.3,139,Montréal Canadiens,Gabriel Dumont (F),2009,0,https://www.eliteprospects.com/player/36736/gabriel-dumont,-,-,1990-10-06,"5'10""",81 kg / 179,"Dégelis, QC, CAN",Canada,R,2009 round 5 #139 overall by Montréal Canadiens,Dégelis, ,16.7
Gabriel Gagné,67,39,6.7,8.2,47.7,36,Ottawa Senators,Gabriel Gagné (F),2015,0,https://www.eliteprospects.com/player/156103/gabriel-gagne,-,-,1996-11-11,"6'5""",84 kg / 185,"Ste-Adèle, QC, CAN",Canada,R,2015 round 2 #36 overall by Ottawa Senators,Ste-Adèle, ,10.6
Gabriel Landeskog,60,67,10.0,13.7,91.6,2,Colorado Avalanche,Gabriel Landeskog (F),2011,0,https://www.eliteprospects.com/player/10393/gabriel-landeskog,Colorado Avalanche,Signed,1992-11-23,"6'0""",98 kg / 216,"Stockholm, SWE",Sweden,L,2011 round 1 #2 overall by Colorado Avalanche,Stockholm, ,14.6
